facteurs,FEM/PINNs,FEM/PINNs,PINNs/Corr,PINNs/Corr,FEM/Corr,FEM/Corr
n_vert,20,40,20,40,20,40
h,0.23,0.11,0.23,0.11,0.23,0.11
"0 : 0.05,0.07",0.233556049867944,0.012410143918836406,272.24136365782067,3400.758798879428,63.58361750658304,42.20390612734293
"1 : 0.22,-0.06",0.3949208429526914,0.02098501587560474,147.5804127880747,1904.7133214323683,58.28258102157263,39.970439288734084
"2 : 0.1,0.49",0.10002625567737937,0.005315982816979139,427.138914537448,5453.501523982937,42.725106275281064,28.99072039386284
"3 : 0.04,-0.4",0.21477925628948225,0.011413761558384816,250.65175812675332,2994.2141223900007,53.834798198115266,34.175246047707915
"4 : -0.08,-0.29",0.32760313081922415,0.017408508414485237,182.69713135195917,2169.498353773844,59.852152222592856,37.76773034688384
"5 : 0.15,-0.34",0.2355658222466671,0.012518114768228146,238.2656198532706,2877.3201635078626,56.1272366538475,36.0186240317284
"6 : -0.06,0.15",0.23955256570771052,0.01272895257442857,270.92050103645045,3302.630798346332,64.89970112610015,42.03903080299762
"7 : 0.39,-0.25",0.38495233077039037,0.020457759768052582,129.0458780011506,1552.2532257706664,49.67651151285438,31.755623592000983
"8 : 0.46,-0.03",0.22253423890118873,0.011826414032215429,195.69280981504983,2534.851092431291,43.54835049062719,29.978198529106027
"9 : -0.12,-0.26",0.42856107746708355,0.022773113083888092,140.72474725839547,1678.3523726890908,60.309149311340974,38.22130837786056
"10 : 0.29,-0.34",0.2403779595791578,0.012774414727053133,219.41146499778304,2591.4393592623887,52.741680264440895,33.10412111522659
"11 : 0.03,-0.39",0.21899024083476576,0.011637474818712714,249.54360529960059,2974.9010103027563,54.64761422333526,34.620335595561336
"12 : 0.07,0.16",0.23584980173906914,0.012532232448322585,269.3404188653551,3350.5577116955255,63.52388438971183,41.98996807448813
"13 : 0.43,-0.36",0.2072670264489597,0.011015694282756625,204.02210341607113,2481.7316389396547,42.28705470491121,27.33799702640378
"14 : -0.43,-0.3",0.35089137688576727,0.0186488289988376,139.9526126273973,1654.669347559482,49.10816494358786,30.85764571225496
"15 : -0.41,-0.13",0.17573995993856273,0.009339380116393339,293.5020363566526,3559.8368506984834,51.580036111204706,33.2466695010177
"16 : -0.48,0.32",0.23473875758103246,0.012475970464355357,166.10610341472903,2129.914372329637,38.99154034219999,26.57274880079053
"17 : 0.33,-0.4",0.19805918176515017,0.010526020468078346,235.91969212783187,2802.9979213422043,46.726061185124514,29.504413492029098
"18 : 0.28,0.34",0.6522511013716276,0.03466282359129911,75.85960919245778,999.2729986986182,49.47951364540183,34.63762367343867
"19 : 0.37,-0.4",0.19101548851022143,0.010151875289398428,231.80983546380386,2777.6736215522283,44.279268962592546,28.19859620064991
"20 : 0.48,0.48",0.17274601638957127,0.009182322417961724,167.32831914732165,2187.3834821375426,28.90530056186264,20.085260384710736
"21 : 0.3,-0.03",0.30510189372363994,0.016212789605787932,181.94126137965773,2337.37084967376,55.510623393401325,37.89530181646244
"22 : -0.04,0.48",0.0908896232081355,0.004830309601709747,499.2405635500104,6317.6053267842335,45.37578671127767,30.515989669778527
"23 : 0.28,0.1",0.2018441596890836,0.010725797493095345,271.5866366335621,3595.2645620744142,54.81817645408582,38.562079626912286
"24 : -0.38,0.24",0.3648299856253894,0.01938822445595262,137.12771766736907,1706.0420098052289,50.02830326542872,33.077125417388295
"25 : 0.14,-0.46",0.19519010024393127,0.010373310358268106,238.28518093876778,2887.9316333207407,46.51090835408139,29.957411125896172
"26 : -0.36,-0.22",0.3403752557157593,0.01808842544905016,160.62045690791126,1925.9894335748563,54.67122909321238,34.83811628487713
"27 : 0.44,-0.38",0.18698089888189753,0.00993775978057704,210.86285573899994,2602.3740181878748,39.427326306882094,25.86176785196612
"28 : 0.02,-0.2",0.461849031860282,0.024541254195438417,132.49148662138444,1626.1660129861143,61.19106482581591,39.90815348867485
"29 : -0.09,-0.38",0.2486584367845227,0.013214118614047516,224.1506096373731,2630.5412170054665,55.73694019672697,34.76028366065114
"30 : -0.24,-0.18",0.44137407588063565,0.023454160407419027,133.50093526381988,1620.9891783954843,58.92385193126906,38.01894020877806
"31 : 0.27,-0.09",0.45538796194569364,0.024198656104915926,124.89986644013189,1585.9081453606304,56.877895625460994,38.37684582356691
"32 : -0.04,-0.44",0.22088602022240808,0.011738613725413167,231.39144898280654,2744.5186820514223,51.11113627930852,32.216844670781676
"33 : 0.07,0.19",0.2586030142302916,0.013741391624249885,245.01738909653633,3034.20002537979,63.362235359200476,41.69413081505263
"34 : -0.48,0.07",0.11758445229292441,0.006249030014560601,380.57694386951033,4676.319003744121,44.74993150021141,29.222457812057137
"35 : 0.12,-0.23",0.3721858511510445,0.019777195531570087,159.31364573152322,1976.8305984669323,59.294284836562944,39.096165278671236
"36 : 0.11,0.02",0.26146161496068165,0.01389298302039037,234.3164722756078,3005.406621582553,61.2647632530702,41.75406316301519
"37 : 0.12,-0.41",0.20779494723863112,0.011042732004320108,251.42909403754894,3018.3461542192895,52.24569532978931,33.330787677313864
"38 : 0.44,0.08",0.16752613263194294,0.008902977123239127,261.6651730765934,3470.3803820273274,43.83575448998969,30.89671715012716
"39 : 0.18,0.43",0.2047124977602563,0.010879338114712239,230.35346084099163,2952.145877576667,47.15623233647878,32.117393166110446
"40 : -0.14,-0.18",0.5203818771504621,0.027651775690137687,117.33119867465786,1418.4065136441511,61.057029414632275,39.221458752718284
"41 : -0.06,0.17",0.24983710445517693,0.01327548114592644,259.33905741538854,3160.3275994676146,64.79251917679557,41.95486946168329
"42 : 0.2,-0.37",0.22019497087432136,0.011701624483887318,244.13993370251168,2917.283784506929,53.758385590883314,34.136959359233735
"43 : -0.44,0.22",0.2360775399107356,0.012546286938151026,194.81577734877612,2422.0272323230465,45.99162945229668,30.387448628740717
"44 : 0.17,-0.21",0.44200539416854195,0.023487305367235554,133.16743374930766,1661.544191945667,58.86072404477594,39.02519581738453
"45 : 0.17,-0.32",0.25257769868060986,0.013422059888621019,224.39190045487837,2716.0615784293127,56.67638981946167,36.45514116686077
"46 : -0.29,0.09",0.17633833660880646,0.009370424878425366,332.23326399863873,4111.832859101327,58.58546113963442,38.52962091884998
"47 : -0.37,-0.48",0.2796820745707458,0.014865407522168885,146.70899781335376,1763.976240470251,41.03187686663379,26.22222567401366
"48 : -0.18,0.33",0.41216436163695164,0.021902748825663815,136.43823509349298,1711.4052892248908,56.23497807018186,37.48448018880532
"49 : -0.14,-0.5",0.23189951382206297,0.012324659414115787,189.46347046168606,2289.7082499834837,43.936486687105784,28.219874338737526
