nb_vert,h,err,times,mesh,assemble,solve,get_u_PINNs
10,0.49365365979537407,0.026172736348625977,0.15911340713500977,6.461143493652344e-05,0.13443779945373535,0.0003414154052734375,0.024269580841064453
15,0.31734878129702676,0.011801693646714085,0.35769200325012207,4.363059997558594e-05,0.3289768695831299,0.0005137920379638672,0.028157711029052734
20,0.23383594411359887,0.006597373044981429,0.6793956756591797,4.315376281738281e-05,0.6268718242645264,0.0007143020629882812,0.051766395568847656
25,0.18512012242326567,0.004189417116906809,1.0545399188995361,5.626678466796875e-05,0.9653778076171875,0.0009763240814208984,0.08812952041625977
30,0.15320285993649607,0.00288944071128763,1.5192844867706299,7.033348083496094e-05,1.394028663635254,0.0016350746154785156,0.1235504150390625
