method,FEM,FEM
n_vert,20,40
h,0.07,0.04
0,0.12690540851195212,0.04371152288662997
1,0.07000318542961058,0.020975603053859565
2,0.12123628742770472,0.04095871154674139
3,0.07011131876100818,0.020523326376915802
4,0.15350757647382302,0.056859770936143146
5,0.06526025793646117,0.019032527097986064
6,0.06633812774001398,0.0194072434926476
7,0.08082486534354047,0.024663226273306443
8,0.10467421674039444,0.03456374225099676
9,0.13389692541859616,0.0466585649828887
10,0.07570847970044887,0.022874852997411172
11,0.0845643113994983,0.02588642108016282
12,0.06835642926733211,0.020040545354867222
13,0.06952014938732812,0.020745678781872938
14,0.05699142984568135,0.01607325128920102
15,0.06982219502567014,0.020759912822553118
16,0.1495891614379804,0.05425856168565893
17,0.1000762751686048,0.03220055168210323
18,0.06420262751569648,0.018443921657097278
19,0.12241513024847842,0.0416349690997892
20,0.08055001318689574,0.0242832159001192
21,0.1549196457173452,0.05733221031754539
22,0.1078439791263847,0.03503776999113731
23,0.15759161142295047,0.05850553146193268
24,0.0710138732391541,0.021181253590544083
25,0.11848778582054321,0.03995314762445381
26,0.12487054716709209,0.04367614787974483
27,0.06653598203195142,0.019671506700572855
28,0.07095661224095103,0.02100052317516057
29,0.17670158401306726,0.0686684634519384
30,0.12893632795275473,0.044606008324307535
31,0.08063511758008185,0.024739802442542952
32,0.09457530736634237,0.030499918077375118
33,0.12555919866589607,0.04361009963065111
34,0.06213746967702384,0.01794171631819022
35,0.07797420745850296,0.023605564256395477
36,0.08349747416634001,0.02569478010773572
37,0.07857962929113975,0.023769090507718336
38,0.06856621011893937,0.020110381350246714
39,0.10919173536508485,0.036110826005221246
40,0.08817682743606253,0.027249813149573344
41,0.12821800677729842,0.04470599506103626
42,0.13079167523721294,0.045724507840891854
43,0.05551929750993199,0.015564487270998087
44,0.06569993780136081,0.019055155493266782
45,0.08444484604663179,0.025943165159579083
46,0.137735379599755,0.049584789220597524
47,0.10583133415354885,0.0341973119562074
48,0.14452798383206258,0.05194728613707886
49,0.08322405608468342,0.0252743045969557
