N,P1,P2,P3
16,3.77546191401314e-05,6.730101849358583e-06,3.14966122432864e-07
32,1.1926760360391783e-05,9.119803837221898e-07,1.9472825220126203e-08
64,3.4743139370329225e-06,1.3820390029283466e-07,1.269379571969918e-09
