N,P1,P2
16,0.0076837388123873,0.0001678311499067
32,0.0011599081861333,2.2310885835203155e-05
64,0.0003417164908327,2.6273961774264303e-06
128,0.0001190815274435,3.398273544792428e-07
256,3.062401406405969e-05,4.223235184566631e-08
