err,times,mesh,assemble,solve
0.0005497614454675423,90.21202087402344,0.0032422542572021484,88.66823983192444,1.5405387878417969
0.0005519023536922187,88.99436926841736,0.0032422542572021484,88.53133249282837,0.4597945213317871
0.0005536750379880481,86.26670360565186,0.0032422542572021484,85.83220958709717,0.43125176429748535
0.0005453491929213835,83.83825397491455,0.0032422542572021484,83.53379011154175,0.3012216091156006
0.0005449637993124203,83.69699692726135,0.0032422542572021484,83.17401146888733,0.5197432041168213
0.0005449861405231112,82.88779997825623,0.0032422542572021484,82.44745945930481,0.43709826469421387
0.000543239333738502,83.49712347984314,0.0032422542572021484,83.06679558753967,0.42708563804626465
0.000540505750345157,83.057448387146,0.0032422542572021484,82.68540453910828,0.3688015937805176
0.0005395857053596736,83.12506055831909,0.0032422542572021484,82.66377329826355,0.45804500579833984
0.0005468401815872851,83.9184353351593,0.0032422542572021484,83.48561000823975,0.4295830726623535
