err,times,mesh,assemble,solve
0.00013661863079162626,318.13139033317566,0.009476661682128906,316.39812111854553,1.723792552947998
0.000137150718665766,319.9081435203552,0.009476661682128906,317.8850779533386,2.0135889053344727
0.00013759129274478285,319.17532300949097,0.009476661682128906,317.19837164878845,1.9674746990203857
0.00013552202910130192,318.1849389076233,0.009476661682128906,316.19757294654846,1.9778892993927002
0.00013542625079112603,319.40673637390137,0.009476661682128906,317.3939733505249,2.003286361694336
0.00013543177084748321,319.47842144966125,0.009476661682128906,317.38665413856506,2.0822906494140625
0.0001349976557900719,320.4190640449524,0.009476661682128906,318.3188738822937,2.0907135009765625
0.00013431831747673235,320.8464210033417,0.009476661682128906,318.9626519680023,1.8742923736572266
0.00013408964992299655,320.661256313324,0.009476661682128906,318.5282039642334,2.1235756874084473
0.000135892572223738,331.10808062553406,0.009476661682128906,328.9738419055939,2.1247620582580566
