err_PINNs,err,times,mesh,assemble,solve
0.0018571768860024876,4.89424194174056e-05,1.1218414306640625,0.00026035308837890625,1.115027904510498,0.006553173065185547
0.0035341611461977493,6.473487628270611e-05,1.1281752586364746,0.00026035308837890625,1.1220946311950684,0.005820274353027344
0.0018235733830421052,5.302323017295674e-05,1.1232354640960693,0.00026035308837890625,1.1177542209625244,0.005220890045166016
0.0015253682132301185,5.295426566685462e-05,1.1304271221160889,0.00026035308837890625,1.124840497970581,0.005326271057128906
0.0008801737344002305,5.273142570168638e-05,1.130819320678711,0.00026035308837890625,1.1249299049377441,0.005629062652587891
0.002036124275026824,5.4613656072047655e-05,1.1260859966278076,0.00026035308837890625,1.1200735569000244,0.005752086639404297
0.0018496925245579127,6.582287937194601e-05,1.1361463069915771,0.00026035308837890625,1.1304421424865723,0.0054438114166259766
0.0016856432147093405,6.377213729342645e-05,1.1348628997802734,0.00026035308837890625,1.128957986831665,0.005644559860229492
0.0025617411776737687,7.298313214335819e-05,1.11787748336792,0.00026035308837890625,1.1116821765899658,0.005934953689575195
0.002079091448083968,4.731603255688783e-05,1.1310672760009766,0.00026035308837890625,1.124945878982544,0.005861043930053711
