method,Corr,Corr
n_vert,20,40
h,0.23,0.11
0,0.00013448157480211505,3.3056491387717385e-05
1,0.0001401321588658518,3.459641506957578e-05
2,0.0001634532097623211,4.084181360745258e-05
3,0.00013475117074469089,3.3242735335341884e-05
4,0.00011254124291327927,2.8086769573150287e-05
5,0.000136656179425335,3.367784555592597e-05
6,0.00013388569081487266,3.296008193142512e-05
7,0.00013115159323121402,3.3132346597300747e-05
8,0.00013124125638525546,3.35145054898224e-05
9,0.00010622281456793298,2.663132869151018e-05
10,0.00013798683944622666,3.428201846850386e-05
11,0.00013220021178293452,3.265267651505659e-05
12,0.00014404961963768913,3.544945480945032e-05
13,0.00015102923065687991,3.796646058654335e-05
14,0.00016700947758386964,4.1748591163787865e-05
15,0.0001269483743285652,3.193803198877637e-05
16,0.00018716957072782163,4.625648065441547e-05
17,0.00015079871902387557,3.745559690792876e-05
18,0.0001476683357274235,3.69373553778278e-05
19,0.00015604028176644495,3.8859750879102624e-05
20,0.00027055403109283897,6.70546542210475e-05
21,0.0001388939944771494,3.458280558674329e-05
22,0.00015268342700792896,3.822680553942097e-05
23,0.00014129842450674775,3.5152742105651214e-05
24,0.00013043421487389655,3.256756257085748e-05
25,0.00015715525802355502,3.85086870903111e-05
26,0.00011970589460067486,3.0279223070248894e-05
27,0.00016371200812690173,4.104559143787925e-05
28,0.00012025142722043696,2.9689041196976355e-05
29,0.00012157002841722063,3.0310926664769274e-05
30,9.937508734135202e-05,2.5199740721456323e-05
31,0.00014006857672649965,3.474976542044445e-05
32,0.00013557042307033967,3.353419243395707e-05
33,0.00014636360353653552,3.605405531024974e-05
34,0.000160424021075871,3.966095187511529e-05
35,0.00013328452090026176,3.281338854835618e-05
36,0.00013611578718060688,3.347905885308129e-05
37,0.00014119918073047383,3.4744921872645954e-05
38,0.00013013714612718607,3.314372817444867e-05
39,0.00015386342344523866,3.848840209330162e-05
40,0.00010022558857656557,2.5166609127948205e-05
41,0.00013486379208082987,3.321059375134885e-05
42,0.00013998776789105023,3.45248294144494e-05
43,0.00015075157955229596,3.738458690713975e-05
44,0.0001373552744845092,3.382358506104717e-05
45,0.00013725444136053944,3.3836605653422446e-05
46,0.00012127618464449946,3.0189490363929294e-05
47,0.0002088792731515483,5.2008276721935995e-05
48,0.00011472251865747589,2.884865272457954e-05
49,0.0001555367316543912,3.841601278680176e-05
