method,FEM,FEM
n_vert,20,40
h,0.07,0.04
0,0.00010058201663517683,5.109265675825762e-06
1,0.00034060384980536175,2.0123121535443676e-05
2,7.455786245279281e-05,3.85014154860266e-06
3,2.2855542242384824e-05,1.3331137168930656e-06
4,0.0012746778264934547,6.045204197173206e-05
5,7.25883344921556e-05,4.636027717346864e-06
6,6.687220278575027e-05,4.026642948002678e-06
7,8.278661428389944e-05,4.4708470901727684e-06
8,0.0006523899799676391,3.8115566096369424e-05
9,6.881481985980327e-05,3.5469526259786704e-06
10,0.00013796980100246633,7.558714132794913e-06
11,3.571558684073775e-05,1.939533600746616e-06
12,4.5772943729272546e-05,2.6572820620440507e-06
13,0.00027786067099831767,1.7059377369756636e-05
14,4.510990665901571e-05,6.775615383739975e-06
15,0.00016974572814449057,9.997821707839364e-06
16,0.0001947990545324211,8.863461942407027e-06
17,9.904645844553766e-05,5.2402179408928825e-06
18,2.5605278807176486e-05,1.6337627115992426e-06
19,9.128699131028088e-05,4.7096876857389915e-06
20,4.680611289403218e-05,2.5326942661554145e-06
21,0.00041029766204892605,1.690320442576206e-05
22,3.469889274566595e-05,1.8574077596821886e-06
23,0.00040899262311062343,1.5738450207843347e-05
24,0.00014817765281913224,8.349701747381781e-06
25,0.00011626070272526614,6.00719014576498e-06
26,0.005957168601394284,0.000464471858514827
27,0.0002654869031608897,1.6415846396016118e-05
28,5.480699517208663e-05,3.1322840590382075e-06
29,0.003028228333578615,0.00010048758495995622
30,0.00013266418639958457,6.705000515094527e-06
31,0.00015477648616059949,8.404604653710364e-06
32,0.0014181686115392659,8.113453949183178e-05
33,0.0005420848274987187,2.7092383647755387e-05
34,7.578338207173193e-05,5.829942652882098e-06
35,7.51802271399703e-05,4.087588030964605e-06
36,8.311153774540117e-05,4.475299789507102e-06
37,6.116181119438637e-05,3.3276916718033035e-06
38,5.3976214045912464e-05,3.0585354101700206e-06
39,0.00020264481212800943,1.051961845430908e-05
40,3.2253642625594344e-05,1.7502875586458863e-06
41,0.0003741550570478604,1.8543195469546567e-05
42,0.00028128436646466653,1.3911755764860588e-05
43,3.250740043273757e-05,4.529665505031961e-06
44,3.3046839324103134e-05,2.1619423912581406e-06
45,5.3842795985122023e-05,2.906334121818996e-06
46,0.0033970209244157112,0.00019108564686908295
47,4.160740527467645e-05,2.235329768943795e-06
48,0.00015017052165124676,7.155128971161959e-06
49,2.4752169841254677e-05,1.3552865766391086e-06
