facteurs,FEM/PINNs,FEM/PINNs,PINNs/Corr,PINNs/Corr,FEM/Corr,FEM/Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.51,0.51",0.10104717273431943,0.009125929866804574,111.85075734079773,1028.2255011629622,11.302202797480035,9.383513810873177
"1 : 0.54,0.49",0.05815268026452296,0.006958676569986412,199.8712814566729,1543.9481074945263,11.623050724610374,10.74383552089702
"2 : 0.52,0.6",0.06170443836555421,0.0057026849308152916,162.73793740353415,1540.9320792102208,10.041653028253792,8.787450147522001
"3 : 0.51,0.42",0.029453338000767153,0.0033668785941165266,386.12671642119454,2986.4455823830112,11.372720689879811,10.054999703819224
"4 : 0.48,0.44",0.2160979638439453,0.023422995655809607,60.88369873316805,332.81205082793457,13.156843327525808,7.795455220743797
"5 : 0.53,0.43",0.08718949145601254,0.010218793134097933,138.1230533446981,858.5542823714571,12.042878779475918,8.773388605947824
"6 : 0.49,0.53",0.07522070849488477,0.008772192212667737,188.18701274214587,1224.2685387972215,14.15556042800012,10.739518942251097
"7 : 0.58,0.45",0.061731547210288965,0.006980791542716043,348.05428271651874,2976.8848430911144,21.48592938525804,20.781012536290024
"8 : 0.59,0.49",0.10377041064141071,0.011790934208593068,192.6944593545876,1521.0439389565738,19.995983175550183,17.934529012616213
"9 : 0.48,0.45",0.052792662305997363,0.004320147996905785,120.13999695575048,1147.264357585906,6.342510288728486,4.956351816346155
"10 : 0.56,0.43",0.053226479089079425,0.006159954597630175,396.91443061760833,3094.745386066054,21.126357641421993,19.06349106939236
"11 : 0.51,0.42",0.044451228763280885,0.004943733250432988,452.17793653048017,3881.387777566379,20.099864898424677,19.188545813779108
"12 : 0.51,0.53",0.06100885821326516,0.007042593456889578,279.01003740137156,1901.003202463099,17.022083811898085,13.387992715192754
"13 : 0.59,0.43",0.04350236580934158,0.00502897323492627,320.3133881537081,2369.2840746795328,13.93439018509223,11.915066197500426
"14 : 0.41,0.44",0.013358977608577412,0.00165443971803663,273.76751562227054,1444.0296942206703,3.657254111153779,2.389060080142967
"15 : 0.42,0.47",0.08946441642781772,0.010506095992614846,135.06322045865377,975.6397841487648,12.08335219919515,10.250165226480952
"16 : 0.4,0.56",0.05194948778403899,0.003995043883280613,53.423383358257844,659.9452547427946,2.775317401151848,2.6365102532602678
"17 : 0.57,0.42",0.06635625449673843,0.007076846140865851,219.7319510191871,1982.8660014838529,14.580589262894044,14.032437610455103
"18 : 0.56,0.57",0.03911491852703152,0.0045200903543921155,331.86665902355344,2226.6991438831633,12.980937329544444,10.064881322399469
"19 : 0.57,0.42",0.09293023811054105,0.008751698002012474,108.241684363567,1016.7364902266195,10.05892550139231,8.898170710089481
"20 : 0.6,0.6",0.03524548035466292,0.003955594804270691,388.5484103812284,3408.6117630970366,13.694575364927092,13.483086979882597
"21 : 0.56,0.49",0.25358002327279466,0.0219750550580251,50.00394530895132,415.22377927254723,12.68000161517543,9.124565410915487
"22 : 0.49,0.6",0.05221693405392423,0.005215216886036584,176.70703711503842,1609.4200067812656,9.227099703900302,8.39347439609077
"23 : 0.56,0.52",0.1075484958190048,0.009039547105427618,34.35378926367119,398.36963832261097,3.6946983609909125,3.6010811109894054
"24 : 0.42,0.55",0.09236760883809228,0.010810723217975047,158.12174411716026,1192.5782657605698,14.605327409410778,12.89263354691021
"25 : 0.53,0.41",0.12145144987348074,0.011916613991793591,89.51081624852209,851.339360229652,10.871218412741726,10.145082531877275
"26 : 0.43,0.46",0.09092070093851444,0.01649215850113503,39.185301504420046,140.11835549158317,3.562755079268895,2.310854127685573
"27 : 0.59,0.42",0.042330617405318655,0.004929125221232348,295.8681798211952,2115.3924976527724,12.524282722419036,10.427034512985971
"28 : 0.5,0.46",0.0841960899928221,0.009700053559131715,211.18125628674426,1444.7091973128418,17.78063605911595,14.013756591304753
"29 : 0.48,0.42",0.25349836300012724,0.030649430583141107,12.708399764179672,108.65039463453519,3.2215585365707495,3.3300727281820732
"30 : 0.45,0.46",0.16198155467934577,0.014898671486133771,69.47869212978776,615.7213891488625,11.254266568270646,9.173430703914832
"31 : 0.55,0.48",0.07136395280199262,0.008157751284367456,312.42171165218883,2491.838594262721,22.29564828466455,20.327799492783107
"32 : 0.49,0.41",0.04591302259714756,0.005921822246765201,235.32312250689998,1433.689347107592,10.804395841290622,8.490053470652017
"33 : 0.51,0.54",0.14296936673015162,0.014765921790897427,89.2083538862284,578.1343991140242,12.754061862153335,8.536687321945161
"34 : 0.4,0.51",0.0364588780618161,0.004323217974020608,224.32045289844507,1303.3988637775724,8.178472038995771,5.634877395201239
"35 : 0.52,0.45",0.09338841929106995,0.010629793519661082,235.77669560229535,1948.4892559797602,22.018812907970123,20.712038466342896
"36 : 0.52,0.5",0.07807969675434917,0.008752165854404224,280.3411366095131,2428.4468516042193,21.88895093424036,21.25416961384589
"37 : 0.52,0.42",0.08300254996566409,0.00942016307233739,258.7901971938802,2129.8497414190397,21.4802462732091,20.06353188374298
"38 : 0.59,0.52",0.05753399000797183,0.006650653625724124,274.34568493779216,2062.8927236905397,15.784201895941123,13.719584972292402
"39 : 0.54,0.59",0.08255658929330968,0.008509575759250373,219.40036156605177,1829.4006170905234,18.112945540612184,15.567423145151192
"40 : 0.47,0.46",0.03551309046506882,0.0039014635725135825,513.7845640179197,4486.265516525932,18.246077701524325,17.503001489349757
"41 : 0.49,0.53",0.15177813984675773,0.014957529370541154,79.5142257279076,599.5266235216043,12.068521272337021,8.967437079745764
"42 : 0.54,0.43",0.22611328642885972,0.021609373530931727,45.86566776940869,425.9249609263025,10.370836873595227,9.203971576803971
"43 : 0.41,0.54",0.012330721564539135,0.0014938294467803151,355.59187101921384,1932.053178247319,4.384704352151439,2.886157930411342
"44 : 0.53,0.46",0.056261453879089506,0.006510059630081327,232.6928987110774,1445.3237194987614,13.091640788824927,9.409143598707875
"45 : 0.53,0.44",0.057814055896407715,0.0064471830047563685,368.1579320791694,3199.111482366969,21.284703263930975,20.625257179437277
"46 : 0.44,0.52",0.18557548087283485,0.026224291195486766,54.908879127899695,290.1909489340687,10.18974164834835,7.610051947141647
"47 : 0.43,0.4",0.02984755002583993,0.0031009410555939343,354.25278762469543,3227.4145697618396,10.573577800421345,10.008022342796522
"48 : 0.46,0.57",0.10838647338686815,0.008647517925001706,91.69768622131234,803.6492817713643,9.938788827263656,6.949571569532619
"49 : 0.47,0.4",0.020226927331469715,0.0022557376866177803,497.8811721526532,4536.55917303068,10.070606288838679,10.233287494176896
