method,PINNs,PINNs
n_vert,20,40
h,0.07,0.04
0,0.01894359117608223,0.018943587531510517
1,0.04066292897311886,0.040662968222216773
2,0.02358281403357705,0.023582813619172895
3,0.014562386204278858,0.014562387472913418
4,0.05418673736726711,0.0541867623581429
5,0.009764905282719633,0.00976491105646154
6,0.010737788163635072,0.01073778719535047
7,0.016142315320372705,0.016142318377550813
8,0.042557221798634436,0.04255722531559677
9,0.03875223185792192,0.0387522304860451
10,0.02517187167567423,0.025171862067170873
11,0.013813668602637838,0.013813668319663122
12,0.010518893606586066,0.010518890066991492
13,0.050968610830066326,0.05096858147551784
14,0.03824209353397606,0.03824210656599884
15,0.017081529480888657,0.017081534150765555
16,0.1608448152918961,0.16084482313514378
17,0.01929471842937928,0.019294729699694316
18,0.011118490203298555,0.011118492907552317
19,0.01757514333574442,0.017575153422839128
20,0.019685634060850717,0.01968564384995013
21,0.034674014308318575,0.034674007026966526
22,0.014466645814716728,0.014466644046242056
23,0.12464315847716707,0.12464315470659634
24,0.014968448412348068,0.014968462474192878
25,0.014369541787523164,0.014369541594691605
26,0.19593207412819663,0.1959319135606792
27,0.05014042878344199,0.05014039917158751
28,0.008704130351391597,0.008704128784097261
29,0.1357769221663449,0.1357769384711437
30,0.01398577039169041,0.013985770999380958
31,0.020577893984437403,0.020577895475851714
32,0.13216303850260405,0.1321630578272434
33,0.03294619507844449,0.03294620165181281
34,0.023572833513062847,0.02357283806031989
35,0.009906082123091598,0.00990607316581984
36,0.01294264134512294,0.012942630853561501
37,0.009898762068214963,0.009898759085747614
38,0.012396421002202887,0.012396420572934835
39,0.02640439700966239,0.026404401024077193
40,0.016648338673634903,0.01664833857712225
41,0.02624357919680789,0.026243579957770893
42,0.01550377762139061,0.015503778809028246
43,0.03427450625703858,0.034274511935965965
44,0.009181522071372225,0.00918152327780945
45,0.01353971419537553,0.013539709948580607
46,0.07427450682818926,0.07427455512544232
47,0.027837980969622603,0.027837991691183228
48,0.038820376212288274,0.038820377829210766
49,0.024498530319348427,0.024498534977366652
