method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.51,0.53",0.08593794851588768,0.026118934024894857,0.018809651508999544,0.018809771855193422,0.004407696111628518,0.0016121913862211683
"1 : 0.54,0.49",0.23780498302122638,0.10516612013964068,0.12192964878058778,0.12192986472435904,0.06335295656783232,0.029975859173760364
"2 : 0.52,0.58",0.01880825692226038,0.004694277516871374,0.011181873397306962,0.011181521427854363,0.0008786080003134161,0.00022610420523113856
"3 : 0.51,0.59",0.014043267582364993,0.0034185610995900277,0.012305139263437176,0.012305057699963986,0.0007582613084513491,0.00018711553213382739
"4 : 0.48,0.48",0.03814350004402539,0.013435329972525507,0.1162558841337221,0.11625626100750085,0.009444335932202374,0.002792717864895196
