method,PINNs,PINNs
n_vert,20,40
h,0.07,0.04
0,0.018809651508999544,0.018809771855193422
1,0.12192964878058778,0.12192986472435904
2,0.011181873397306962,0.011181521427854363
3,0.012305139263437176,0.012305057699963986
4,0.1162558841337221,0.11625626100750085
