err,times,mesh,assemble,solve
0.001942069487243805,446.2050187587738,0.00859689712524414,444.40728664398193,1.789135217666626
0.0019426475854572912,452.80847120285034,0.00859689712524414,450.97430968284607,1.8255646228790283
0.0019431066283916974,451.6603436470032,0.00859689712524414,449.795574426651,1.8561723232269287
0.0019407325322393007,450.60131764411926,0.00859689712524414,448.90765166282654,1.6850690841674805
0.0019406322371675214,451.5307195186615,0.00859689712524414,449.8331253528595,1.6889972686767578
0.0019406408535893817,446.2450885772705,0.00859689712524414,444.37081575393677,1.865675926208496
0.0019400310397635645,447.5132083892822,0.00859689712524414,445.7920081615448,1.7126033306121826
0.0019395292402142052,446.8128650188446,0.00859689712524414,445.0860357284546,1.7182323932647705
0.001939153544361142,445.0817437171936,0.00859689712524414,443.2904088497162,1.7827379703521729
0.0019412071879307913,446.895370721817,0.00859689712524414,445.12057757377625,1.7661962509155273
