N,P1,P2,P3
16,0.0388181484386144,0.0061951038972319,0.0011833153404058
32,0.0130207622779366,0.000724277819683,6.221358598147253e-05
64,0.0034519619406396,8.7885406857017e-05,3.596477889841106e-06
128,0.000868588888243,1.078847655411021e-05,2.154600048282788e-07
256,0.0002166346948219,1.3347884706961211e-06,1.3168484377682711e-08
