method,FEM,Corr,Corr,Mult3,Mult3,Mult100,Mult100
type,error,error,facteurs,error,facteurs,error,facteurs
16,5.18e-02,1.28e-03,40,1.62e-03,32,1.29e-03,40
32,1.24e-02,3.49e-04,35,4.22e-04,29,3.51e-04,35
64,3.01e-03,8.76e-05,34,1.05e-04,29,8.80e-05,34
128,7.41e-04,2.17e-05,34,2.60e-05,29,2.18e-05,34
256,1.84e-04,5.40e-06,34,6.45e-06,28,5.43e-06,34
