method,FEM,FEM,PINNs,PINNs,Corr,Corr
"19 : 0.37,-0.4",0.005072461073487643,0.0012583678152005367,0.0005770417620652752,0.000579751315485818,4.1492661262934995e-05,1.2307100102113763e-05
"20 : 0.48,0.48",0.005153232235685926,0.0013608593172444302,0.0017175956733248429,0.0017254675691230031,4.797116220988863e-05,1.4167170975292787e-05
"21 : 0.3,-0.03",0.004462761553520687,0.0011155772315966724,0.0004453409882682999,0.00044750363516028475,2.8069171677440237e-05,8.138079762498199e-06
"22 : -0.04,0.48",0.004491160904757103,0.0012062641785413528,0.0013968320041048469,0.0014034630334659242,4.2703747667126406e-05,1.2218377278751828e-05
"23 : 0.28,0.1",0.004405934098222663,0.0011160761251171737,0.0003206419118539184,0.0003221991264986567,2.312693723455824e-05,6.6381857026707606e-06
"24 : -0.38,0.24",0.004414847056949084,0.0011794747387943233,0.0006924126736405776,0.0006957138624871834,3.3069425180235134e-05,1.0179477546491487e-05
"25 : 0.14,-0.46",0.004762617443190712,0.0012063809078120846,0.0007062276157844058,0.0007095791469746935,3.768010301605923e-05,1.106355528575729e-05
"26 : -0.36,-0.22",0.0043445834670360894,0.0011323407073076496,0.000750913099413855,0.0007545094049033475,2.841024217304489e-05,8.785279075624289e-06
"27 : 0.44,-0.38",0.0052135627576514075,0.0012859800910890778,0.0006918593026998601,0.0006950869016724616,4.848381681458902e-05,1.4353190947807424e-05
"28 : 0.02,-0.2",0.00419850568624919,0.0010649459358145273,0.0004195805434217393,0.00042163429888347824,1.9926830701414572e-05,6.17080771628269e-06
"29 : -0.09,-0.38",0.004425709342096707,0.001135372830421408,0.0003797543207819598,0.00038157970406309103,2.4466851465326966e-05,7.454427579912754e-06
"30 : -0.24,-0.18",0.004179281022928101,0.0010816219734426666,0.0007095246573991319,0.0007129706949774241,2.592399119464784e-05,7.97161475460503e-06
"31 : 0.27,-0.09",0.004441418125278474,0.0011083507413804498,0.0004561176207463036,0.00045833547058648697,2.756776648954778e-05,8.042252821370181e-06
"32 : -0.04,-0.44",0.004547967985256798,0.0011662200177925404,0.0006487228300484915,0.0006518212563058419,3.40149218540842e-05,1.0035050292609542e-05
"33 : 0.07,0.19",0.004146291039469143,0.001074937826061906,0.0002929378232778515,0.00029437172062339795,2.0892249271699676e-05,6.0406588899859555e-06
"34 : -0.48,0.07",0.004469441106006181,0.001187537141680829,0.001163313307699594,0.0011688300896743851,4.262850484027127e-05,1.2907175576787591e-05
"35 : 0.12,-0.23",0.004331565532067935,0.001090116319449952,0.000307606601048548,0.00030910566024320446,1.9616326602278093e-05,6.053379318238747e-06
"36 : 0.11,0.02",0.0041385802438774644,0.0010522059315200432,0.00047869264884948945,0.00048104730961476977,2.5147709441455447e-05,7.3219478448010285e-06
"37 : 0.12,-0.41",0.004617422811057551,0.0011680827228719218,0.0004373653395621098,0.00043945885091007536,2.8293636893560946e-05,8.471741233096314e-06
"38 : 0.44,0.08",0.00478382573890708,0.0011990844779328355,0.00045792224549971885,0.00046010588463625535,3.3594021144886213e-05,9.761526408451804e-06
"39 : 0.18,0.43",0.004534050708697567,0.001202177268862064,0.0013963691251552455,0.001403010056733249,3.909576197512013e-05,1.1221532620900089e-05
"40 : -0.14,-0.18",0.004132453939660571,0.0010621433551370675,0.0006179189588363879,0.0006209380600427352,2.3734062822933504e-05,7.302903467291842e-06
"41 : -0.06,0.17",0.0040728274738999265,0.0010626519001417898,0.000458377061228914,0.0004606246604719114,2.6492006160375066e-05,7.80773065296598e-06
"42 : 0.2,-0.37",0.004659791802310054,0.0011691508360951771,0.00032545176057311554,0.00032701072314564664,2.6566014254672654e-05,8.017029296435034e-06
"43 : -0.44,0.22",0.0044953209532899285,0.0012023609973546758,0.0008325096925787239,0.0008364552201868818,3.5821022631369694e-05,1.1042831608656373e-05
"44 : 0.17,-0.21",0.004368951062684275,0.0010951903691511823,0.0003485366155294627,0.00035023424140090333,2.1721518195450774e-05,6.57481331877696e-06
"45 : 0.17,-0.32",0.0045271784757366495,0.0011361749687123358,0.00022406707889653914,0.0002251483994797253,2.201046011633444e-05,6.751644137942436e-06
"46 : -0.29,0.09",0.004158960561294432,0.0010945385141669583,0.0009490061131756272,0.0009536133570086274,3.7666527932151386e-05,1.124037597098835e-05
"47 : -0.37,-0.48",0.004792282113795976,0.001252251766099889,0.00151124901237816,0.0015182698368824343,6.73375596147593e-05,1.9586793839442513e-05
"48 : -0.18,0.33",0.004292071128508279,0.0011440109064770102,0.0002658368919640642,0.00026711645185551743,2.3192110657642545e-05,7.0363845354194986e-06
"49 : -0.14,-0.5",0.004666583265303225,0.0012072674104878533,0.001145165397614563,0.0011505724407007878,5.199160932149841e-05,1.5061968005656469e-05
