method,PINNs
n_vert,40
h,0.07
0,0.0002875011923990504
1,0.0004772285517695306
2,0.0005266778244768387
3,0.0007495468604420807
4,0.0006915509388955058
5,0.0003948246802917689
6,0.001249252013061381
7,0.0012061936431823524
8,0.0004935451474692447
9,0.0011018770019743166
10,0.0006958353219107567
11,0.00029592624564712386
12,0.0009708153729871754
13,0.0006296950269382193
14,0.0005937514416227538
15,0.00039354646844723753
16,0.0006189673497901229
17,0.001101934377025194
18,0.00035969778138275236
19,0.00039971127258648146
