nb_vert,h,err
10,0.49365365979537407,0.02617273634862607
15,0.31734878129702676,0.01180169364671416
20,0.23383594411359887,0.006597373044981512
25,0.18512012242326567,0.0041894171169068834
30,0.15320285993649607,0.00288944071128771
