method,Mult,Mult
n_vert,20,40
h,0.05,0.03
0,0.0003740740544442479,9.350554324478739e-05
1,0.0003436882053411015,8.75242737641847e-05
2,0.0010896151946055282,0.00025536215094484514
3,0.00024423931410075473,5.850337967210839e-05
4,0.00021436924508924898,5.394543204608895e-05
5,0.0009070389931623568,0.00022268510015056747
6,0.002249355885897214,0.0005285939113550718
7,0.0003415138730801016,8.748180823402185e-05
8,0.0004935072772426991,0.00012007714338316737
9,0.0002467865997832857,6.359937159798735e-05
10,0.00020317465171592879,4.73454448249103e-05
11,0.0006468476637609267,0.00015696248968460815
12,0.0003419170242262514,9.426431787828136e-05
13,0.00039090985875526204,9.568131166001187e-05
14,0.0005595169144100925,0.00013524480172109342
15,0.0004776591886939046,0.00012003971291505023
16,0.0005912515964742037,0.00014428375530880445
17,0.00025637166837443693,6.477316000029753e-05
18,0.00045335398047571557,0.00011388246636350022
19,0.00037693687470135705,9.134433064336987e-05
20,0.00048518374818205313,0.00012292275385662345
21,0.0005037166855218836,0.0001325605491145588
22,0.0004440326323863825,0.00011056845703981969
23,0.0006668334623684527,0.00016831503641119008
24,0.0002734473637614136,7.341693322065992e-05
25,0.0012095094924673294,0.00030796873289882907
26,0.00065141849416738,0.00016213310780347956
27,0.0005540444610196453,0.00013531605529748858
28,0.0006000182807619633,0.00014603107572566394
29,0.00048466431985684397,0.0001264567107972784
30,0.0004706065920159655,0.00011345008249139245
31,0.0003925551173177547,9.649948144773582e-05
32,0.0005788855042435551,0.00013996981730388954
33,0.0005819236855605023,0.00014414822988384682
34,0.000340622708089055,8.410119416211264e-05
35,0.00032887999938539125,8.206536454504315e-05
36,0.0003647340406780738,9.26194527941186e-05
37,0.00020440432131302284,5.073741092323086e-05
38,0.00032020323391934984,8.293735052872843e-05
39,0.00033875508409057537,8.636202401972768e-05
40,0.0002775516878860481,7.765812056643294e-05
41,0.000282315504143588,7.084899658447754e-05
42,0.0005800498753805693,0.0001492562949727361
43,0.00033166537179802745,7.860448344353761e-05
44,0.0004469228179395843,0.00011323447058268313
45,0.00036021191998506224,9.297919076929186e-05
46,0.0003173558224302099,9.035229446897037e-05
47,0.0002830237381156044,8.754102066651596e-05
48,0.00020445563990810966,5.051269994947535e-05
49,0.001773869668010066,0.000417593228094135
50,0.0002870661032237095,7.180060176677519e-05
51,0.00041361494490169056,0.00010108218209217759
52,0.000143366987034963,3.5410414688160426e-05
53,0.00033499536621231664,8.629531674283532e-05
54,0.0019763094581089664,0.00046402269770540915
55,0.0004866288941528904,0.00011932033779985478
56,0.0004337494904077292,0.00010561952439926732
57,0.0041418240143229505,0.0010404029127602111
58,0.0003021871186620795,7.455182776845977e-05
59,0.00045873434318186674,0.00011120622151532344
60,0.00033368657211543297,8.173813360929174e-05
61,0.0003580466822124556,9.082876932803066e-05
62,0.00038728228214305075,0.0001043021121228352
63,0.0004990910486149731,0.0001222924594173057
64,0.0003959307199276488,0.00010496766157973853
65,0.0006376132310686587,0.00015476547585384769
66,0.0004988072146104447,0.00012655161701347796
67,0.00034538248983150466,8.511479511374562e-05
68,0.0010462166558105853,0.0002572765728471785
69,0.00033005624869418955,9.956157129705704e-05
70,0.00042518569952761684,0.00010873582943319285
71,0.0005611374677150119,0.0001377735474840011
72,0.0005515067502627675,0.00013479280048681665
73,0.0002803147713119729,7.40516436760185e-05
74,0.00039153145658260314,9.418631463199061e-05
75,0.00020371192460280803,5.407584644900795e-05
76,0.00019778006315238154,5.306074245785807e-05
77,0.0006754827040280313,0.00017697198461794617
78,0.0004458426630894959,0.00010821692352023017
79,0.0006052325643176134,0.0001477144157406311
80,0.00038233829341553793,9.466003173646111e-05
81,0.00031509645717065995,7.81354702620155e-05
82,0.0006436522367943817,0.00015966957616035711
83,0.0003147358112450695,9.203431031159599e-05
84,0.0006773639460839723,0.00016174795010510533
85,0.00041749268123524643,0.00010494326557419744
86,0.0002931374351833098,7.269831546518472e-05
87,0.001000074993382722,0.00024460036211901493
88,0.0003110962410997976,7.431074064093297e-05
89,0.0005513031854687476,0.0001343001287555066
90,0.00024204996697512864,6.542067143820703e-05
91,0.0004172653836326558,0.00010870138397136776
92,0.0002284134375985871,6.141549023318306e-05
93,0.00034338109217080454,8.733629811326241e-05
94,0.00046823416916673183,0.0001143805083873866
95,0.0005780446429540985,0.00014569685055554937
96,0.00025526113231690863,6.040774899960964e-05
97,0.0003578715444594273,8.804302961288746e-05
98,0.0006581549050215935,0.0001679450331895501
99,0.003239286806924438,0.0007639901454729719
