nb_vert,h,err
16,0.06666666666666676,0.051828280332640315
32,0.032258064516129115,0.012366014245314466
64,0.015873015873015928,0.0030072938996943345
128,0.007874015748031593,0.0007408124436587691
256,0.0039215686274510775,0.00018380103448858214
