N,P1,P2,P3
16,1.8496793605418547e-05,2.4657383151216866e-06,5.611665282311774e-07
32,5.611854872590887e-06,4.291537791439517e-07,7.657794546472273e-08
64,1.470726764217082e-06,6.006258130953157e-08,8.203320318842356e-09
128,3.7784659597224257e-07,8.655594203771655e-09,9.25577831171413e-10
256,9.621541895019445e-08,2.696126854682709e-09,2.4259957643854252e-09
