nb_vert,h,err
16,0.29619219587722484,0.0002099986266089968
32,0.1433188044567221,2.4044806946126373e-05
64,0.07052195139934005,2.87308146012192e-06
128,0.03498333022172013,3.50976560956653e-07
256,0.017423070345719664,4.3366236457777635e-08
