N,P1,P2,P3
16,0.0051532984138695,0.0002099986266089,1.256353465803318e-05
32,0.0012624082760726,2.4044806946126373e-05,6.677077120761127e-07
64,0.0003089361625819,2.87308146012192e-06,3.8768657301465466e-08
128,7.621857967865105e-05,3.50976560956653e-07,2.3420248972396566e-09
256,1.8917431711584997e-05,4.336623645777764e-08,2.6965444771918777e-10
