N,P1,P2,P3
16,3.574562133336078e-05,2.252396796589329e-06,9.069075648161048e-08
32,1.0175868064764848e-05,3.183169654527021e-07,6.258673657202437e-09
64,2.462605567490596e-06,3.7400341815925e-08,3.7588718329866226e-10
128,6.09117294102582e-07,4.721113471838317e-09,2.51131050373398e-11
256,1.5198755894054174e-07,5.899362720730484e-10,2.4340997605223155e-11
