N,P1,P2,P3
16,4.5721806422243135e-05,2.15659066303701e-06,8.136725678060848e-08
32,1.239616789589932e-05,3.001010210167438e-07,5.559497878064683e-09
64,3.1907300940770333e-06,3.608538410520039e-08,3.3683031961238507e-10
128,7.853609046279816e-07,4.542000987452358e-09,2.2887303295444427e-11
256,1.940215439387298e-07,5.662935168678358e-10,2.3891526489481798e-11
