N,P1,P2,P3
16,0.0375788939211624,0.0019025123681623,0.000191943647139
32,0.009768313856684,0.0002091168438272,1.0068696454306551e-05
64,0.002436970243969,2.4510027944491967e-05,5.760039849025581e-07
128,0.0006043056867592,2.977428888362465e-06,3.4742174269451335e-08
256,0.0001501811397483,3.673584164994331e-07,2.168067760643268e-09
