degree_PINNs,err,times,mesh,system,assemble_A,assemble_b,impose_BC,solve
3,0.00927056783292074,53.14928960800171,0.002168893814086914,52.90321755409241,0.01686882972717285,52.88142228126526,0.004923820495605469,0.24390578269958496
4,0.0006628961471962189,91.91599369049072,0.0017828941345214844,91.60814762115479,0.017459392547607422,91.58515477180481,0.005532741546630859,0.3060638904571533
5,0.0007684857606283134,146.3519308567047,0.0020055770874023438,146.05018782615662,0.01698136329650879,146.0279495716095,0.005255222320556641,0.29973912239074707
6,0.0007478307811893962,219.2595887184143,0.001865386962890625,218.97266030311584,0.017437458038330078,218.94999647140503,0.005224943161010742,0.2850644588470459
