N,P1,P2,P3
16,0.0112000241507613,5.078810259643795e-06,2.800102020400261e-07
32,0.0019374659806514,6.999517344207702e-07,1.9677096453045858e-08
64,0.0006637155200576,7.96998803080614e-08,1.102468219515515e-09
128,0.0001808875757803,1.017750209263092e-08,1.417381548181733e-10
256,4.534412198789385e-05,1.34264075127231e-09,4.561314658627943e-10
