method,FEM,FEM,PINNs,PINNs,Corr,Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.51,0.54,0.52,0.55",0.0244977167075975,0.00624154900093,0.011839808581847,0.0118398048375702,8.480746510403865,8.482745370621805
"1 : 0.48,0.53,0.41,0.89",0.0215541182582011,0.0054696517617708,0.0108714736162205,0.0108715111353557,8.320013742981414,8.413218041533412
"2 : 0.59,0.48,0.65,0.53",0.0209790643106468,0.0052268729321727,0.0174153845626497,0.0174153862419663,8.626504867004153,8.550945118028839
"3 : 0.51,0.59,0.15,0.1",0.1757479145948772,0.0791647104833357,0.389864624155847,0.3898646287942023,3.990636074081326,4.6865932637996925
"4 : 0.4,0.57,0.64,0.87",0.0156569076657881,0.0038259061562663,0.0291366393984538,0.0291366472805028,8.561056804418046,8.524786145189774
"5 : 0.6,0.56,0.42,0.78",0.0224208345987105,0.0057127485037729,0.0444180673405994,0.0444180511679882,8.284364175163073,8.403158015650636
"6 : 0.42,0.53,0.2,0.95",0.0329184047150774,0.0102541737658004,0.0857940193002255,0.0857940229065078,7.861852798780868,8.223016060280381
"7 : 0.5,0.48,0.29,0.78",0.0310003595200209,0.0083879063907121,0.0428303491511658,0.0428304015345062,8.112531576973245,8.342061918538274
"8 : 0.49,0.51,0.11,0.62",0.0585941514877456,0.0193574432412981,0.3507248845576391,0.3507248413069357,6.507676797203185,7.6178191314907515
"9 : 0.52,0.52,0.76,0.69",0.0151836719116499,0.0037069583324911,0.0100172610870682,0.0100172645866526,8.746202697119758,8.604445108648871
"10 : 0.47,0.49,0.59,0.07",0.1221784095575236,0.0413238656967464,0.0336875883227299,0.0336875930626036,8.056107075965043,8.380851956656443
"11 : 0.53,0.53,0.25,0.14",0.1193404008222652,0.0444526238115736,0.0961932735064181,0.0961933088146354,6.71579882812381,7.342276101842285
"12 : 0.46,0.47,0.5,0.44",0.0312690501549651,0.0081645085731399,0.0090647833442507,0.0090647784302314,8.378525979564982,8.461867925304988
"13 : 0.6,0.42,0.25,0.17",0.1023311271342087,0.0360890195712916,0.1448714765710258,0.1448713859445665,7.578210043022174,8.07564373085324
"14 : 0.53,0.45,0.43,0.25",0.0556399828164211,0.0160190623092047,0.0146262924745769,0.0146262836466464,8.195752700779853,8.396931372981095
"15 : 0.43,0.42,0.56,0.15",0.0764283241643442,0.0227051059446449,0.0218583374427828,0.0218583245929906,8.232619605346654,8.464461937006654
"16 : 0.44,0.47,0.67,0.11",0.0797469675343726,0.0238264844785049,0.0247172157197574,0.0247172149625955,8.522570970639004,8.577378238508956
"17 : 0.57,0.42,0.78,0.47",0.020264045373439,0.0050018191289225,0.0146663926524856,0.0146663944756746,8.875928252870656,8.671447869441268
"18 : 0.6,0.52,0.62,0.05",0.1456328694483065,0.051313550511536,0.0768085109390822,0.0768085115573569,7.6330425252166885,7.97124237753258
"19 : 0.46,0.42,0.31,0.13",0.127815826837999,0.0461693569053388,0.0464733296999267,0.0464733332663543,7.310974709916101,8.099260044676821
"20 : 0.46,0.48,0.14,0.7",0.0466645548804127,0.0159536342579973,0.0980287520787127,0.0980287894333112,7.557971661068019,8.13342419170384
"21 : 0.51,0.45,0.47,0.1",0.1103472067819885,0.0367657021584433,0.0192930515029357,0.0192930657968814,7.837689965970109,8.28654632861338
"22 : 0.52,0.59,0.32,0.67",0.0305002052897191,0.0082119351508717,0.0370806081647096,0.0370806101674923,8.199476528890848,8.36908978757621
"23 : 0.43,0.54,0.3,0.19",0.0868883047665002,0.0286160847609868,0.0286735264996982,0.0286735250571732,7.656215462379162,8.149416856009404
"24 : 0.52,0.4,0.68,0.01",0.2234083604332987,0.0964137945587554,0.1805145064155008,0.1805145160297862,8.175915808309144,8.474536322708987
"25 : 0.54,0.45,0.61,0.96",0.0148399355984405,0.0036267395774971,0.0161363676058795,0.0161363806145909,8.510005706273521,8.498466745308836
"26 : 0.45,0.52,0.51,0.58",0.0245490297545125,0.0062442799473162,0.0107367870528603,0.01073677997531,8.435871745907487,8.474033240835496
"27 : 0.44,0.59,0.41,0.85",0.02229082251738,0.0056605581128405,0.0155103878531741,0.0155104097680716,8.32556674384401,8.416303925407984
"28 : 0.54,0.46,0.67,0.4",0.0259972411268344,0.0065756398584755,0.0200013837332516,0.0200013801716971,8.692991011865393,8.588913212062625
"29 : 0.58,0.52,0.72,0.7",0.0157182173809587,0.0038485246196674,0.0081537787326685,0.0081537789760908,8.66459539459121,8.56583407630344
"30 : 0.55,0.5,0.77,0.65",0.0157139078796063,0.0038407266945348,0.0095447072036336,0.0095447082465572,8.768115528503245,8.615329136171614
"31 : 0.48,0.52,0.11,0.31",0.0806896914014413,0.0335301510456428,0.2365973153620335,0.2365973124024991,6.037855238448361,6.888329381699442
"32 : 0.53,0.46,0.53,0.43",0.029595545989359,0.0076597204390015,0.0167773273212105,0.0167773175887889,8.471899861577095,8.49103582565257
"33 : 0.43,0.46,0.5,0.59",0.025562465195678,0.0065151197156901,0.0046419335559859,0.0046419309293112,8.349237878264606,8.45247875788266
"34 : 0.51,0.53,0.56,0.44",0.0279858340580174,0.0071973524972602,0.0176404119463711,0.0176404040672496,8.528175667362307,8.50808440538763
"35 : 0.58,0.47,0.41,0.89",0.0216329995484454,0.005490527081861,0.0285236496915084,0.0285236503494388,8.310077018365119,8.410216756263491
"36 : 0.56,0.54,0.17,0.92",0.0397836385381332,0.0113806758030305,0.2045229058518916,0.2045229263412553,7.648525432244509,8.169686766570273
"37 : 0.54,0.6,0.2,0.87",0.0364933773112216,0.0101882130012053,0.0803719046121708,0.0803719082663142,7.891763834079244,8.254979551623686
"38 : 0.43,0.52,0.19,0.85",0.0370838333716863,0.0115674093353416,0.0839641011907482,0.0839641122857733,7.828551945857322,8.23921466114235
"39 : 0.56,0.51,0.39,0.08",0.1476657912522145,0.0548550589059106,0.0335322864288639,0.0335322871922156,6.91329394625392,7.4349123726559725
"40 : 0.54,0.49,0.61,0.87",0.0157056866808576,0.0038549991426782,0.0103705296673395,0.0103705350587602,8.522726858084427,8.50018154663602
"41 : 0.6,0.57,0.11,0.37",0.0742321152918824,0.0289273782063325,0.7628707134638663,0.7628704164274369,2.5000800166399078,2.784500235491084
"42 : 0.55,0.43,0.46,0.06",0.1549660067310333,0.0574291207162448,0.050495192717666,0.0504951930890689,7.566369086571298,8.110981997492273
"43 : 0.44,0.4,0.66,0.23",0.0452493501779295,0.0121280021603421,0.0132256345220212,0.0132256408379032,8.636558040512197,8.608190271300604
"44 : 0.47,0.59,0.59,0.04",0.163558643265121,0.0612385276572248,0.0851488253534999,0.0851488253050844,7.708278191609298,8.091636025382144
"45 : 0.43,0.52,0.5,0.25",0.050660906795658,0.0141143388789431,0.0128677757986732,0.012867765814687,8.342650365196901,8.461218879171495
"46 : 0.59,0.52,0.47,0.59",0.0248270685429656,0.0063609175683867,0.0166269782442171,0.0166269787252321,8.390301162618405,8.445489206420515
"47 : 0.55,0.46,0.38,0.22",0.0674732226095043,0.0204508794429035,0.0146809281629245,0.0146809244190764,8.057830941218871,8.34396651214562
"48 : 0.44,0.59,0.62,0.5",0.023608698467403,0.0059343485759034,0.0087156084401926,0.0087156111814966,8.611905521069986,8.546414659482203
"49 : 0.45,0.45,0.14,0.44",0.0742003319113388,0.0239661407720396,0.1708462259252811,0.1708461777028649,7.343785257219922,8.073134528254524
