method,Corr,Corr
n_vert,20,40
h,0.07,0.04
0,0.5584817520428703,0.5579711756312702
1,0.5473555121899693,0.5546185773863654
2,0.559481664754397,0.5577385870175593
3,0.542090373375743,0.5534692413323793
4,0.547477436016468,0.5547618436822677
5,0.5463762183354782,0.5544736768008072
6,0.5480878728317504,0.5549262121470204
7,0.5486372967838037,0.5550917154867492
8,0.5479885711918693,0.5547584170939773
9,0.5520343754858782,0.5557187398615548
10,0.5473120190513312,0.5546983078505398
11,0.5432654643932974,0.5537720356682355
12,0.5489391289954099,0.555166076440966
13,0.5471608952489538,0.5545739778304957
14,0.5398390317295279,0.5526814502115591
15,0.5452064758464438,0.554047314499599
16,0.5682121676140454,0.560146931611288
17,0.548704960123952,0.5552084433363382
18,0.5498274311029838,0.5552883451063361
19,0.5542497133429835,0.5568290529681658
20,0.549686120379804,0.5550753039765987
21,0.5626792768280653,0.5590070252014021
22,0.5603578879609615,0.5581829866345557
23,0.5737765006484993,0.5616710906554175
24,0.5470617893265599,0.5546029120774154
25,0.5472366604987473,0.5548156680992054
26,0.5463990444697957,0.5542989651753247
27,0.5471151362856929,0.5545577889863709
28,0.5465291086823534,0.5545691616461397
29,0.5477794618982466,0.5547630290634438
30,0.5467476439918532,0.5545825606545836
31,0.5482528182658943,0.5549292513124242
32,0.5463174208153723,0.5543087919585066
33,0.5499355442288594,0.5553935938314115
34,0.5453252640969735,0.5541377275163212
35,0.5473179464228699,0.554779045825588
36,0.5491758382947908,0.5552603332411776
37,0.5455104163710517,0.5543013192920656
38,0.5489697047979291,0.5550565510569904
39,0.5502965300359625,0.5553387487287783
40,0.5439778454846692,0.5539893948483178
41,0.5509461237198398,0.5557758353756174
42,0.549771455186918,0.5555249911851811
43,0.5451166632593413,0.5541772044309277
44,0.5469762122056838,0.5547182983234022
45,0.5471832850670778,0.5548090676925194
46,0.5473080166074519,0.5546199948764385
47,0.529468909861227,0.5497008669586763
48,0.5683058580254647,0.5605809576974933
49,0.5354623345408839,0.5516363317703359
