facteurs,FEM/PINNs,FEM/PINNs,PINNs/Corr,PINNs/Corr,FEM/Corr,FEM/Corr
n_vert,20,40,20,40,20,40
h,0.07,0.04,0.07,0.04,0.07,0.04
"0 : 0.51,0.51",0.10104717273431904,0.009125929866802548,0.03396171224218082,0.03396202571853351,0.003431735003288883,0.00030993506484188117
"1 : 0.54,0.49",0.05815268026452088,0.006958676569985395,0.07292344066657577,0.0729019430966557,0.00424069352887214,0.0005073010433331066
"2 : 0.52,0.6",0.061704438365550875,0.0057026849308117996,0.042289512594767306,0.042279917079531874,0.0026094506234130063,0.0002411090460054188
"3 : 0.51,0.42",0.029453338000764946,0.0033668785941165305,0.026112986280518658,0.0261077727358131,0.0007691146111294539,8.790170116426829e-05
"4 : 0.48,0.44",0.21609796384394445,0.023422995655808344,0.09714347394818712,0.09714532942756389,0.020992506920930503,0.002275434629163899
"5 : 0.53,0.43",0.08718949145600718,0.010218793134097973,0.01751091282506476,0.017506790060369898,0.0015267675841478703,0.00017889826606900256
"6 : 0.49,0.53",0.07522070849488362,0.008772192212667798,0.0192556594997324,0.01925099834175714,0.0014484243501061073,0.00016887345773964265
"7 : 0.58,0.45",0.06173154721028536,0.00698079154271379,0.02894710290670307,0.028940373932646646,0.001786949449686129,0.00020202671759199432
"8 : 0.59,0.49",0.10377041064140866,0.011790934208591376,0.07632108670854938,0.07629806901830187,0.007919870508344726,0.0008996255120373613
"9 : 0.48,0.45",0.05279266230599521,0.004320147996905294,0.06945838234394623,0.06947394756646363,0.0036668929234046537,0.00030013773541636134
"10 : 0.56,0.43",0.053226479089076906,0.006159954597626942,0.04514002561546103,0.04512881492933384,0.002402644629501732,0.0002779914510094054
"11 : 0.51,0.42",0.044451228763280635,0.004943733250432996,0.02476950626824562,0.02476539590552717,0.0011010349894832999,0.00012243351119829184
"12 : 0.51,0.53",0.06100885821326262,0.00704259345688964,0.018863025465573176,0.018858549651999935,0.001150811646102316,0.00013281309838560312
"13 : 0.59,0.43",0.043502365809341324,0.005028973234925527,0.09140483848877133,0.09137816637352673,0.003976326720682292,0.00045953835294903773
"14 : 0.41,0.44",0.013358977608577191,0.001654439718036632,0.0685810999166674,0.06856169011179976,0.0009161733781583549,0.00011343118325668093
"15 : 0.42,0.47",0.08946441642781404,0.010506095992610686,0.030632405599489803,0.030624284723586245,0.0027405102907384583,0.0003217416750110381
"16 : 0.4,0.56",0.051949487784038594,0.003995043883280564,0.2882267819768582,0.28835412325187665,0.014973233689339548,0.0011519873763161396
"17 : 0.57,0.42",0.06635625449673867,0.007076846140864227,0.03459742960794591,0.03459192429945238,0.00229575584399786,0.00024480172598364706
"18 : 0.56,0.57",0.03911491852702982,0.0045200903543921225,0.019939149891623827,0.01993359315358205,0.0007799182235091014,9.010164214188308e-05
"19 : 0.57,0.42",0.09293023811054016,0.008751698002011128,0.0315088232255202,0.031508718574142607,0.00292812244493051,0.00027575478939125474
"20 : 0.6,0.6",0.035245480354658014,0.0039555948042706976,0.0353051072036623,0.0352931987733405,0.0012443454623657746,0.00013960559369391863
"21 : 0.56,0.49",0.25358002327279405,0.021975055058024003,0.062159337272124804,0.062163316640170184,0.015762366192086864,0.0013660423057571195
"22 : 0.49,0.6",0.0522169340539214,0.005215216886036604,0.025939504429648718,0.025936025187054745,0.001354481392194369,0.00013526199651219857
"23 : 0.56,0.52",0.10754849581900441,0.009039547105426982,0.22343819990250086,0.22345925931880609,0.024030442308019987,0.0020199705007561707
"24 : 0.42,0.55",0.09236760883809071,0.010810723217972086,0.02684275606400202,0.02683589096042812,0.002479401192256026,0.0002901153894808675
"25 : 0.53,0.41",0.12145144987347736,0.011916613991789284,0.025763133316144854,0.025761774720678674,0.0031289698945294814,0.00030699312508976296
"26 : 0.43,0.46",0.09092070093851441,0.01649215850113498,0.3513781379535278,0.35127283620169186,0.03194754659720476,0.005793247291781528
"27 : 0.59,0.42",0.04233061740531853,0.00492912522123176,0.08991987225107372,0.08989339023369869,0.00380636370939532,0.000443095777022953
"28 : 0.5,0.46",0.0841960899928206,0.009700053559131783,0.015608159373475103,0.015604959288863796,0.0013141459912313963,0.00015136894089004985
"29 : 0.48,0.42",0.25349836300012707,0.030649430583140812,0.2432833442418613,0.2434094737463509,0.061671929510508226,0.007460361768867618
"30 : 0.45,0.46",0.1619815546793405,0.014898671486128563,0.025072656803064912,0.025073601224854906,0.004061307928901998,0.000373563347623304
"31 : 0.55,0.48",0.07136395280198785,0.008157751284367043,0.03690232787963101,0.03689266530385513,0.0026334959850854676,0.0003009611877662476
"32 : 0.49,0.41",0.04591302259714725,0.0059218222467645526,0.23701273138876555,0.23694595272719224,0.010881970892063985,0.001403151814140709
"33 : 0.51,0.54",0.1429693667301506,0.014765921790897323,0.059080502345223676,0.05906680966323429,0.008446702006395806,0.0008721758919251357
"34 : 0.4,0.51",0.03645887806181404,0.004323217974018417,0.04227275676753747,0.042262056994345557,0.001541217284324373,0.00018270808441694545
"35 : 0.52,0.45",0.09338841929106577,0.010629793519659078,0.01776345021504413,0.017759829714422467,0.0016589005367385135,0.00018878332280861668
"36 : 0.52,0.5",0.07807969675434934,0.008752165854396532,0.02320891183921109,0.023203864439126823,0.00181214479840403,0.0002030840700341717
"37 : 0.52,0.42",0.08300254996566131,0.0094201630723374,0.0177502500988445,0.017746712397504968,0.0014733160207323253,0.00016717692478236866
"38 : 0.59,0.52",0.05753399000796796,0.006650653625724142,0.022231136753827402,0.022224717797510854,0.001279045999860475,0.00014780890000071144
"39 : 0.54,0.59",0.08255658929330648,0.008509575759249911,0.047353127309032676,0.04733875403846975,0.003909312683005466,0.000402832713838856
"40 : 0.47,0.46",0.035513090465068814,0.0039014635725135947,0.029851523490217156,0.02984739115645577,0.0010601198542282088,0.00011644850933147659
"41 : 0.49,0.53",0.1517781398467556,0.014957529370541081,0.047057235874912326,0.04704992344590138,0.0071422597274242074,0.0007037506118237793
"42 : 0.54,0.43",0.22611328642885725,0.021609373530929524,0.027796446220711243,0.027795208590967235,0.0062851458060080075,0.0006006370448123123
"43 : 0.41,0.54",0.012330721564536332,0.0014938294467803182,0.061462626953338116,0.061448249690829945,0.0007578785395865782,9.179320484127134e-05
"44 : 0.53,0.46",0.05626145387908413,0.006510059630081363,0.0164642491234537,0.016460847059253294,0.0009263025927129416,0.0001071610959173884
"45 : 0.53,0.44",0.05781405589640593,0.006447183004756372,0.024278359281536047,0.024274241842095604,0.001403630420575751,0.00015650047945770478
"46 : 0.44,0.52",0.18557548087283396,0.026224291195486322,0.13319364387623822,0.133161142865177,0.024717474511537902,0.0034920565864201576
"47 : 0.43,0.4",0.029847550025836677,0.0031009410555939373,0.04992028154114457,0.04990870120387109,0.0014899981006031638,0.00015476394059445444
"48 : 0.46,0.57",0.10838647338686598,0.008647517925000719,0.0695832735576364,0.06959631717929902,0.0075418856276257724,0.0006018354003220238
"49 : 0.47,0.4",0.020226927331466953,0.002255737686617785,0.04393108088630991,0.04392157268513274,0.0008885907806801875,9.907554676137623e-05
