N,P1,P2,P3
16,0.0190821192412339,0.0016480311528666,0.0002240994716501
32,0.0055543634705903,0.0001844818480627,1.169721043813311e-05
64,0.0014378426491519,2.144402338141592e-05,6.614356749964248e-07
128,0.0003600935032596,2.5960792931121177e-06,3.9686208497492595e-08
256,8.971388918714702e-05,3.200027818912149e-07,2.4645364217970962e-09
