method,FEM,FEM,PINNs,PINNs,Add,Add,Mult3,Mult3,Mult100,Mult100
"14 : 0.7,0.06,0.67",0.06111243759610473,0.014741720536585044,0.005549226941379697,0.0055492269422487105,0.002301657853486086,0.0007918144868806514,0.00225838277756497,0.000780727340338214,0.0023002449682676287,0.0007915571676441974
"15 : 0.67,0.21,0.13",0.021786600525720012,0.00522895935348066,0.006872218296579977,0.006872218296491306,0.0006762692577233578,0.00019985206088500552,0.0006573921087727808,0.00019506507526084187,0.0006757197748991827,0.00019971399102874105
"16 : 0.32,0.36,0.57",0.07002506361634736,0.016882787022953646,0.005389844431849132,0.005389844432933012,0.0018986012261653301,0.0007308335379730939,0.001972528814766856,0.0007195357344382627,0.001899981448254201,0.0007304170373486301
"17 : 0.44,0.99,0.1",0.037146960868288524,0.008884590428362765,0.0032722151877971257,0.003272215187835268,0.0017005594822938905,0.000482255178410557,0.0016326008109756702,0.0004603469056688387,0.0016990816910160188,0.0004817026836162676
"18 : 0.21,0.16,0.65",0.08208372667879023,0.019802156846028655,0.006962781223053108,0.006962781222859606,0.0025024785080027443,0.0008589793767617263,0.002411681642047924,0.0008173152903541585,0.0025003991765125823,0.0008578182422526082
"19 : 0.25,0.47,0.24",0.048667658865543785,0.011696118530623526,0.005546721937541217,0.005546721937376287,0.001032314426351471,0.00032886763886429284,0.0010623606617822543,0.0003354396897863146,0.0010327538542801138,0.00032900645374484716
"20 : 0.16,0.11,0.66",0.0846160741605537,0.020414429311870853,0.009365905105416046,0.009365905104903559,0.0029395223226780774,0.0009316172813400629,0.002818825515594555,0.0008848583174124257,0.002936397775553439,0.0009303110108498223
"21 : 0.14,0.2,0.37",0.07582417238086968,0.018284997249734005,0.008362641081758708,0.008362641081687692,0.001366235387707151,0.0005481031571997234,0.001386615983248964,0.0005507515297668901,0.0013665340295939267,0.0005481780822709075
"22 : 0.82,0.1,0.84",0.06306525452798997,0.015213010988049658,0.00578345030040209,0.005783450301871864,0.0041983020402163885,0.001196618364216643,0.004163488253824272,0.001183011854364683,0.004197261580008994,0.0011964468056594629
"23 : 0.1,0.98,0.47",0.0519491310927371,0.012480792982438253,0.005707708832665367,0.0057077088324898224,0.003292523278088274,0.0009459757609569579,0.003218967915237328,0.0009026726289739707,0.0032911087311450872,0.0009449384095055957
"24 : 0.98,0.6,0.74",0.05120035131197232,0.012336807415937335,0.003845823465111644,0.0038458234658998772,0.0013978179566854721,0.00037222579912951984,0.0012556279015643703,0.0003672172762460451,0.001394272215580432,0.0003719221992790026
"25 : 0.04,0.28,0.12",0.049694326358436555,0.011932417274624617,0.015373839524890258,0.015373839525108679,0.0028228098216776386,0.0007541841748758446,0.0028264461298635525,0.0007660484307304631,0.0028229142895704585,0.0007545318436518347
"26 : 0.3,0.12,0.32",0.06328292146433587,0.015262449556639053,0.01215545972155663,0.012155459721277816,0.001235776134005925,0.0004967670246148228,0.0012430717416827585,0.0004993173348283943,0.0012351481144916487,0.0004967710655726966
"27 : 0.41,0.06,0.69",0.07546146378733282,0.018205445937710864,0.006082469511889277,0.006082469512684487,0.002358279149145938,0.0008492497393579301,0.0022616267649547997,0.0008167725801444136,0.0023559068192945277,0.0008483770460674629
"28 : 0.57,0.27,0.52",0.05827312980483771,0.01405075615012469,0.005480357486667796,0.005480357487033435,0.0014177674405995262,0.0005703903587720602,0.0015013747606559787,0.000569511845879324,0.0014191646236953637,0.0005702722505305567
