N,P1,P2,P3
16,2.4187750563711847e-05,3.3524420416673614e-06,7.810170300762061e-07
32,7.940297787587924e-06,6.633098443289441e-07,9.054162530543069e-08
64,2.078006492532746e-06,8.55725047226631e-08,8.223537498945571e-09
128,5.285224130343272e-07,1.1886664448376822e-08,8.895464207273616e-10
256,1.3293141779833164e-07,2.856210753130765e-09,2.4262036224909884e-09
