nb_vert,h,err
16,0.16660094771444728,2.4187750563711847e-05
32,0.08694977804807888,7.940297787587924e-06
64,0.04347576862597117,2.078006492532746e-06
128,0.021977593606715005,5.285224130343272e-07
256,0.010988658015609403,1.3293141779833164e-07
