err_PINNs,err,times,mesh,assemble,solve
0.013780097798991878,0.00011846863808852393,5.793108701705933,0.00036525726318359375,5.735695838928223,0.05704760551452637
0.008688324756358026,7.526405955154336e-05,5.811500787734985,0.00036525726318359375,5.757289171218872,0.05384635925292969
0.01285819401165962,9.846598433996894e-05,5.662992715835571,0.00036525726318359375,5.609699487686157,0.05292797088623047
0.00635598831240678,5.1737949863281566e-05,5.635443449020386,0.00036525726318359375,5.576905727386475,0.05817246437072754
0.023259405459742012,0.0005251103640088291,5.746357679367065,0.0002999305725097656,5.679176568984985,0.06688117980957031
0.010185968355956724,7.754146333002254e-05,5.639366626739502,0.00036525726318359375,5.586494207382202,0.05250716209411621
0.13263724914408148,0.0005914547227053455,5.687264680862427,0.00036525726318359375,5.6343183517456055,0.052581071853637695
0.014241765665795115,6.816363780825614e-05,5.664737224578857,0.00036525726318359375,5.608470916748047,0.05590105056762695
0.04087215941204809,0.00015024585872197113,5.691470623016357,0.00036525726318359375,5.637639045715332,0.0534663200378418
0.01757131071424921,0.00011791755471223612,5.6528098583221436,0.00036525726318359375,5.5931620597839355,0.059282541275024414



