N,P1,P2,P3
16,0.0002132078460032,1.2160551174399504e-05,1.4087071676079177e-06
32,5.268568266850617e-05,1.44753794676057e-06,7.659877618617398e-08
64,1.293787271960307e-05,1.7479678323172038e-07,4.431835488317503e-09
128,3.19492258815549e-06,2.141199405382421e-08,2.7690847254364975e-10
256,7.932186440202759e-07,2.657187268213252e-09,2.248229634258516e-10
