method,PINNs,PINNs
n_vert,20,40
h,0.23,0.11
0,0.027377508839994298,0.008447952103815638
1,0.026871570768705576,0.007798327009393471
2,0.025636341678980067,0.00774274768685271
3,0.025587073720495637,0.00716319367459862
4,0.025429261868809214,0.005975762763250708
5,0.026031060458825084,0.007315768509287563
6,0.027394502036702354,0.008510215005153397
7,0.026091980564984376,0.006863535202015164
8,0.025212516834419267,0.005511777346752872
9,0.025488550834313915,0.005965812382093568
10,0.02634640820256142,0.007604662901614553
11,0.025528767128578253,0.00696820985965379
12,0.027527853068750368,0.00873969422558675
13,0.026306143447636907,0.007574119311589887
14,0.025153791832245406,0.006419440521552053
15,0.02531803968261341,0.006334660861762844
16,0.0258507096785554,0.008804875587866154
17,0.02643842404804418,0.007972135506386034
18,0.026803525269099043,0.008129165288737562
19,0.026470187729651037,0.007968156724754656
20,0.0267379553256715,0.009539569577717913
21,0.026634008976647982,0.007432450055053466
22,0.025260602420239073,0.00705762248617696
23,0.026974825013211783,0.008004816646663616
24,0.026248734600447104,0.007554742729008985
25,0.026059554994999328,0.008634136243727287
26,0.02521926630394368,0.005934401577029148
27,0.026371617190082217,0.00783705372919246
28,0.0261016228566787,0.006800428998146644
29,0.02517460488587643,0.006159638831793355
30,0.025608197743282993,0.006232867710118253
31,0.02665091565675839,0.007496251345993086
32,0.025346358031880335,0.007261740027309717
33,0.027514527724293903,0.008763750095843724
34,0.025738808053584476,0.0078049804155696425
35,0.02623819841754217,0.007155145669126692
36,0.027244010207932278,0.008266143589489475
37,0.025865531687590905,0.007655557517171376
38,0.025521504675821777,0.0060784588212731945
39,0.0263373714175093,0.007907652374217596
40,0.02581727134027233,0.006404510539701725
41,0.027394290126177053,0.008516711747950708
42,0.02615734419307773,0.0076453563517548066
43,0.026130856847266352,0.008056589527563555
44,0.026424341881857615,0.007384477058000253
45,0.026150935706277807,0.0073643399583340876
46,0.026619326958963376,0.007658356210646715
47,0.026012282609224807,0.008737180476808165
48,0.02639086681038457,0.007150273272236319
49,0.025603545036266214,0.008696524911521775
